epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.748,1.32352,1.20575,1.085,0.8063,0.63881,0.746,0.48798,1.14892,0.82482,1.01953,0.000369313,0.000369313,0.000369313
2,211.016,1.23458,0.87521,1.03679,0.74901,0.71246,0.76642,0.49997,1.15317,0.81581,1.01332,0.000703034,0.000703034,0.000703034
3,314.198,1.22259,0.82893,1.02745,0.74706,0.72049,0.77075,0.50335,1.11776,0.78012,1.00489,0.00100009,0.00100009,0.00100009
4,416.132,1.18419,0.79869,1.01673,0.82453,0.74709,0.82029,0.55587,1.09111,0.71048,0.99302,0.000946016,0.000946016,0.000946016
5,518.162,1.16519,0.76004,1.00719,0.80507,0.77023,0.83132,0.56422,1.06895,0.67176,0.97942,0.000891022,0.000891022,0.000891022
6,619.981,1.13292,0.7205,0.99392,0.83037,0.76841,0.85206,0.586,1.05809,0.64997,0.97337,0.000836027,0.000836027,0.000836027
7,721.871,1.11071,0.69558,0.98569,0.82212,0.77685,0.84433,0.58461,1.05529,0.6424,0.97208,0.000781033,0.000781033,0.000781033
8,823.823,1.08676,0.67233,0.97758,0.86524,0.81855,0.8744,0.6162,1.00604,0.61678,0.95277,0.000726038,0.000726038,0.000726038
9,925.814,1.06824,0.65788,0.96847,0.85171,0.79867,0.87601,0.6175,1.00221,0.60228,0.95095,0.000671044,0.000671044,0.000671044
10,1027.51,1.05796,0.64126,0.9644,0.84655,0.8051,0.87953,0.62232,0.99634,0.59505,0.95113,0.000616049,0.000616049,0.000616049
11,1128.45,1.02275,0.60121,0.95875,0.87469,0.82484,0.8941,0.63827,0.97533,0.57385,0.93945,0.000561055,0.000561055,0.000561055
12,1228.38,0.9914,0.57798,0.94658,0.88167,0.83088,0.89548,0.64503,0.97428,0.56928,0.94087,0.00050606,0.00050606,0.00050606
13,1329.09,0.97154,0.56123,0.93962,0.87268,0.84747,0.91024,0.66359,0.95864,0.55354,0.93367,0.000451066,0.000451066,0.000451066
14,1429.01,0.95145,0.53893,0.93372,0.85038,0.84781,0.90982,0.66479,0.94347,0.5501,0.92969,0.000396071,0.000396071,0.000396071
15,1529.01,0.92503,0.52275,0.92304,0.90937,0.85533,0.92066,0.68291,0.93073,0.53309,0.92408,0.000341077,0.000341077,0.000341077
16,1629.03,0.89984,0.50973,0.91737,0.8993,0.86657,0.92478,0.68557,0.92582,0.51988,0.92301,0.000286083,0.000286083,0.000286083
17,1728.93,0.87667,0.4894,0.90985,0.89219,0.86734,0.92602,0.69373,0.90662,0.51737,0.91809,0.000231088,0.000231088,0.000231088
18,1828.79,0.86029,0.47561,0.90116,0.90109,0.86914,0.92812,0.6999,0.89257,0.51109,0.9137,0.000176094,0.000176094,0.000176094
19,1928.72,0.83642,0.46248,0.89586,0.90411,0.87749,0.93204,0.71016,0.88163,0.4999,0.91196,0.000121099,0.000121099,0.000121099
20,2028.67,0.8192,0.44985,0.89176,0.91563,0.87475,0.9348,0.71751,0.87025,0.49283,0.90814,6.61045e-05,6.61045e-05,6.61045e-05
